,Tenant,VRF,BD_Name,BD_IP,AP,EPG_Name,VLAN_ID,VLAN_Pool,Domain,NODEID_FROM,NODEID_TO,Port,Mode,PGType,PolicyGroup
29,D_DC,T_SRV_E_S_CB_PUB,VL2151_T_ORA_PUB_BD,,T_ORA_PUB_AP,VL2151_T_ORA_PUB_EPG,2151,D_DC_SVPL,D_DC_PDOM,203,204,26,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_26_VPC
30,D_DC,T_LAB_AHP_PUB_010,VL2178_T_LAB_AHP_PUB_010_BD,,T_LAB_AHP_PUB_010_AP,VL2178_T_LAB_AHP_PUB_010_EPG,2178,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
31,D_DC,T_LAB_AHP_PUB_010,VL2178_T_LAB_AHP_PUB_010_BD,,T_LAB_AHP_PUB_010_AP,VL2178_T_LAB_AHP_PUB_010_EPG,2178,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
32,D_DC,T_LAB_AHP_PUB_010,VL2178_T_LAB_AHP_PUB_010_BD,,T_LAB_AHP_PUB_010_AP,VL2178_T_LAB_AHP_PUB_010_EPG,2178,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
33,D_DC,T_LAB_AHP_PUB_010,VL2178_T_LAB_AHP_PUB_010_BD,,T_LAB_AHP_PUB_010_AP,VL2178_T_LAB_AHP_PUB_010_EPG,2178,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
34,D_DC,D_LAB_AHP_PUB_010,VL2179_D_LAB_AHP_PUB_010_BD,,D_LAB_AHP_PUB_010_AP,VL2179_D_LAB_AHP_PUB_010_EPG,2179,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
35,D_DC,D_LAB_AHP_PUB_010,VL2179_D_LAB_AHP_PUB_010_BD,,D_LAB_AHP_PUB_010_AP,VL2179_D_LAB_AHP_PUB_010_EPG,2179,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
36,D_DC,D_LAB_AHP_PUB_010,VL2179_D_LAB_AHP_PUB_010_BD,,D_LAB_AHP_PUB_010_AP,VL2179_D_LAB_AHP_PUB_010_EPG,2179,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
37,D_DC,D_LAB_AHP_PUB_010,VL2179_D_LAB_AHP_PUB_010_BD,,D_LAB_AHP_PUB_010_AP,VL2179_D_LAB_AHP_PUB_010_EPG,2179,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
38,D_MGMT,L_ESX_MGT_031,VL2930_L_ESX_MGT_031_BD,,L_ESX_MGT_031_AP,VL2930_L_ESX_MGT_031_EPG,2930,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
39,D_MGMT,L_ESX_MGT_031,VL2930_L_ESX_MGT_031_BD,,L_ESX_MGT_031_AP,VL2930_L_ESX_MGT_031_EPG,2930,D_MGMT_SVPL,D_MGMT_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
40,D_MGMT,L_ESX_MGT_031,VL2930_L_ESX_MGT_031_BD,,L_ESX_MGT_031_AP,VL2930_L_ESX_MGT_031_EPG,2930,D_MGMT_SVPL,D_MGMT_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
41,D_MGMT,L_ESX_MGT_031,VL2930_L_ESX_MGT_031_BD,,L_ESX_MGT_031_AP,VL2930_L_ESX_MGT_031_EPG,2930,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
42,D_DC,DEV_TSM_BACKUP,VL2932_EXA_GUARD_001_BD,,EXA_GUARD_001_AP,VL2932_EXA_GUARD_001_EPG,2932,D_DC_SVPL,D_DC_PDOM,203,204,32,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_32_VPC
43,D_DC,DEV_TSM_BACKUP,VL2932_EXA_GUARD_001_BD,,EXA_GUARD_001_AP,VL2932_EXA_GUARD_001_EPG,2932,D_DC_SVPL,D_DC_PDOM,203,204,33,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_33_VPC
